FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.2567,6017,7684,Tuborgvej,,Østerbro,4,Oval T3,Grøn,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.563662291160988 55.72800493347817))
affaldskurv.2568,5770,7684,Tuborgvej,,Østerbro,4,Oval T3,Grøn,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.573065934192634 55.72686979472326))
affaldskurv.2569,5769,7684,Tuborgvej,,Østerbro,4,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.571314317505943 55.72699888129689))
affaldskurv.2570,5764,7684,Tuborgvej,,Østerbro,4,Oval T3,Grøn,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.57152190456388 55.72716490692026))
affaldskurv.2571,5763,7684,Tuborgvej,,Østerbro,4,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.567392828427446 55.727437087291534))
affaldskurv.2572,5762,7684,Tuborgvej,,Østerbro,4,Oval T3,Grå (metal),Ikke registreret,Rimelig/god stand,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.567005035099205 55.72769680790257))
affaldskurv.2573,5761,7684,Tuborgvej,,Østerbro,4,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.566587192940698 55.727739236450816))
affaldskurv.2574,5760,7684,Tuborgvej,,Østerbro,4,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-04T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.56387223276657 55.72782155223733))
affaldskurv.2575,10574,7780,Tøndergade,0,Vesterbro-Kongens Enghave,,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-10-25T09:26:15,2014-09-09T09:53:27,MULTIPOINT ((12.54363229965657 55.67010953193238))
affaldskurv.2576,11494,7800,Tåsingegade,,Østerbro,,Københavnerkurv,Sort,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2016-03-10T10:48:33.203,2016-09-13T13:17:16.468,MULTIPOINT ((12.568110533091723 55.71013954333565))
affaldskurv.2577,8684,7852,Universitetsparken,0,Østerbro,,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.562775854087041 55.70241939339359))
affaldskurv.2578,9333,7860,Upsalagade,0,Indre By,,Richard Müller T5,Grøn,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Rosenborg,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.580986091689741 55.69238778319069))
affaldskurv.2579,7675,7880,Utterslev Torv,,Bispebjerg,5,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Østerbro/Bispebjerg Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-10T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.515610394777221 55.7105699087074))
affaldskurv.2580,9133,7912,Valby Langgade,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2017-05-16T13:38:16.434,MULTIPOINT ((12.491313821723663 55.66982094919786))
affaldskurv.2581,9132,7912,Valby Langgade,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.493857350721301 55.66927996094879))
affaldskurv.2582,9011,7912,Valby Langgade,0,Vesterbro-Kongens Enghave,,Oval T3,Grøn,Ikke registreret,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.529564882709648 55.6676419561783))
affaldskurv.2583,9126,7912,Valby Langgade,0,Valby,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.515344935750068 55.66656853592812))
affaldskurv.2584,9125,7912,Valby Langgade,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.515000341367292 55.6664922199036))
affaldskurv.2585,9119,7912,Valby Langgade,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.504334038816468 55.666918489744454))
affaldskurv.2586,9115,7912,Valby Langgade,0,Valby,,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.50114750043738 55.6673518332311))
affaldskurv.2587,9114,7912,Valby Langgade,0,Valby,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.501524776886477 55.66726950589777))
affaldskurv.2588,9113,7912,Valby Langgade,0,Valby,,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.505855058244968 55.66635555942718))
affaldskurv.2589,9112,7912,Valby Langgade,0,Valby,,Københavnerkurv,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.50685527408177 55.666138914364446))
affaldskurv.2590,9111,7912,Valby Langgade,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.50918851739484 55.66576473138858))
affaldskurv.2591,9106,7912,Valby Langgade,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.513719180640043 55.66621969268839))
affaldskurv.2592,8064,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.496908444248024 55.66836697676644))
affaldskurv.2593,8063,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.499263722404672 55.66800641883249))
affaldskurv.2594,9524,7912,Valby Langgade,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T14:46:12,2014-09-09T09:53:27,MULTIPOINT ((12.507391252286041 55.66604522473405))
affaldskurv.2595,8148,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.49088522458672 55.669946004444384))
affaldskurv.2596,8146,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.493035190045399 55.66926760124147))
affaldskurv.2597,8140,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.494164839300998 55.66898706656263))
affaldskurv.2598,8139,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.495932297490917 55.66879838592154))
affaldskurv.2599,6959,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.503334344915498 55.66689382035545))
affaldskurv.2600,6951,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.50729760553671 55.66627278673885))
affaldskurv.2601,7331,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51080733225893 55.66580783695198))
affaldskurv.2602,7330,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.512926731954044 55.66611298098812))
affaldskurv.2603,7329,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.513344940968434 55.66600461176602))
affaldskurv.2604,6630,7912,Valby Langgade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grå (metal),Ikke registreret,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-23T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.529963901827324 55.66754390227609))
affaldskurv.2605,6906,7912,Valby Langgade,,Vesterbro-Kongens Enghave,2,Oval T3,Grøn,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-23T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.52992063951585 55.667751255880106))
affaldskurv.2606,6861,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.52601049637791 55.66690951844129))
affaldskurv.2607,6856,7912,Valby Langgade,,Valby,2,Oval T3,Grøn,Ikke registreret,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.528186798752504 55.667339573563794))
affaldskurv.2608,6853,7912,Valby Langgade,,Valby,2,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.527466493939627 55.6670267655747))
affaldskurv.2609,6762,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.516478610414994 55.66655550253952))
affaldskurv.2610,6761,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.516541803005019 55.66667312653436))
affaldskurv.2611,6760,7912,Valby Langgade,,Valby,2,Københavnerkurv,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.517864835452926 55.666548012006125))
affaldskurv.2612,6759,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51883891747989 55.666677104636584))
affaldskurv.2613,6758,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.519460274928392 55.66649652211771))
affaldskurv.2614,6757,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.519709590173292 55.66662451479323))
affaldskurv.2615,6756,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.521293290261129 55.66640840333885))
affaldskurv.2616,6755,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.52096122567362 55.66658019860462))
affaldskurv.2617,6754,7912,Valby Langgade,,Valby,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.521619575201264 55.666377427363706))
affaldskurv.2618,6226,7912,Valby Langgade,,Valby,2,Richard Müller T5,Grøn,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.523038747104382 55.66648030708742))
affaldskurv.2619,6225,7912,Valby Langgade,,Valby,2,Oval T3,Grøn,Ikke registreret,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.523837185546109 55.666585674761244))
affaldskurv.2620,6224,7912,Valby Langgade,,Valby,2,Oval T3,Grøn,Ikke registreret,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.52472255548729 55.666736562577434))
affaldskurv.2621,9110,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.5143681025416 55.66585104286029))
affaldskurv.2622,9109,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.514348875389679 55.666055741467915))
affaldskurv.2623,9108,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.514339218140718 55.66609926925107))
affaldskurv.2624,9107,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.51432998004348 55.66614744409603))
affaldskurv.2625,9105,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.513753711781966 55.66602299457975))
affaldskurv.2626,9104,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.513779508419281 55.666026523066115))
affaldskurv.2627,9103,7916,Valby Tingsted,0,Valby,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.513906687342029 55.666045015936625))
affaldskurv.2628,7328,7916,Valby Tingsted,,Valby,2,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.513604634899222 55.66600034623286))
affaldskurv.2629,6718,7924,Valdemarsgade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-26T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.54827416813746 55.67214137663506))
affaldskurv.2630,8598,7944,Valkendorfsgade,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Rosenborg,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.576362701338821 55.67877143589376))
affaldskurv.2631,5647,7968,Vandkunsten,,Indre By,1,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Tømmerute 3,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-29T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.573965751837575 55.67598478875314))
affaldskurv.2632,5133,7968,Vandkunsten,,Indre By,1,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Tømmerute 3,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-29T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.574248310893799 55.67610960979292))
affaldskurv.2633,9188,7984,Vanløse Allé,0,Vanløse,,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.490221448009319 55.68797317149341))
affaldskurv.2634,9186,7984,Vanløse Allé,0,Vanløse,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.4906014954508 55.68781839104712))
affaldskurv.2635,9184,7984,Vanløse Allé,0,Vanløse,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.493163225992578 55.688374468451165))
affaldskurv.2636,9195,7984,Vanløse Allé,0,Vanløse,,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.490152376704561 55.68777013652929))
affaldskurv.2637,7157,7984,Vanløse Allé,,Vanløse,5,Richard Müller T5,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.504702958993759 55.69243255463437))
affaldskurv.2638,9187,7994,Vanløse Torv,0,Vanløse,,Københavnerkurv,Grå (metal),Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.490363727840725 55.687743452910446))
affaldskurv.2639,9197,7994,Vanløse Torv,0,Vanløse,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.490458017348669 55.687459711231256))
affaldskurv.2640,8926,8008,Vasbygade,0,Vesterbro-Kongens Enghave,,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.557375463104478 55.6612698246429))
affaldskurv.2641,6663,8008,Vasbygade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.549075241960425 55.656405961482385))
